company,ticker,year,metric,concept_used,value,start_date,end_date,filed_date,accession_number
Ford,F,2023,assets,Assets,273310000000,,2023-12-31,2024-02-07,0000037996-24-000009
Ford,F,2023,current_assets,AssetsCurrent,121481000000,,2023-12-31,2024-02-07,0000037996-24-000009
Ford,F,2023,cash,CashAndCashEquivalentsAtCarryingValue,24862000000,,2023-12-31,2024-02-07,0000037996-24-000009
Ford,F,2023,liabilities,Liabilities,230512000000,,2023-12-31,2024-02-07,0000037996-24-000009
Ford,F,2023,current_liabilities,LiabilitiesCurrent,101531000000,,2023-12-31,2024-02-07,0000037996-24-000009
Ford,F,2023,equity,StockholdersEquity,42773000000,,2023-12-31,2024-02-07,0000037996-24-000009
Ford,F,2023,revenue,RevenueFromContractWithCustomerExcludingAssessedTax,176191000000,2023-01-01,2023-12-31,2024-02-07,0000037996-24-000009
Ford,F,2023,net_income,NetIncomeLoss,4347000000,2023-01-01,2023-12-31,2024-02-07,0000037996-24-000009
Ford,F,2024,assets,Assets,285196000000,,2024-12-31,2025-02-06,0000037996-25-000013
Ford,F,2024,current_assets,AssetsCurrent,124474000000,,2024-12-31,2025-02-06,0000037996-25-000013
Ford,F,2024,cash,CashAndCashEquivalentsAtCarryingValue,22935000000,,2024-12-31,2025-02-06,0000037996-25-000013
Ford,F,2024,liabilities,Liabilities,240338000000,,2024-12-31,2025-02-06,0000037996-25-000013
Ford,F,2024,current_liabilities,LiabilitiesCurrent,106859000000,,2024-12-31,2025-02-06,0000037996-25-000013
Ford,F,2024,equity,StockholdersEquity,44835000000,,2024-12-31,2025-02-06,0000037996-25-000013
Ford,F,2024,revenue,RevenueFromContractWithCustomerExcludingAssessedTax,184992000000,2024-01-01,2024-12-31,2025-02-06,0000037996-25-000013
Ford,F,2024,net_income,NetIncomeLoss,5879000000,2024-01-01,2024-12-31,2025-02-06,0000037996-25-000013
Ford,F,2025,assets,Assets,289160000000,,2025-12-31,2026-02-11,0000037996-26-000015
Ford,F,2025,current_assets,AssetsCurrent,123487000000,,2025-12-31,2026-02-11,0000037996-26-000015
Ford,F,2025,cash,CashAndCashEquivalentsAtCarryingValue,23356000000,,2025-12-31,2026-02-11,0000037996-26-000015
Ford,F,2025,liabilities,Liabilities,253180000000,,2025-12-31,2026-02-11,0000037996-26-000015
Ford,F,2025,current_liabilities,LiabilitiesCurrent,114890000000,,2025-12-31,2026-02-11,0000037996-26-000015
Ford,F,2025,equity,StockholdersEquity,35952000000,,2025-12-31,2026-02-11,0000037996-26-000015
Ford,F,2025,revenue,RevenueFromContractWithCustomerExcludingAssessedTax,187267000000,2025-01-01,2025-12-31,2026-02-11,0000037996-26-000015
Ford,F,2025,net_income,ProfitLoss,-8162000000,2025-01-01,2025-12-31,2026-02-11,0000037996-26-000015
General Motors,GM,2023,assets,Assets,273064000000,,2023-12-31,2024-01-30,0001467858-24-000031
General Motors,GM,2023,current_assets,AssetsCurrent,101618000000,,2023-12-31,2024-01-30,0001467858-24-000031
General Motors,GM,2023,cash,CashAndCashEquivalentsAtCarryingValue,18853000000,,2023-12-31,2024-01-30,0001467858-24-000031
General Motors,GM,2023,liabilities,Liabilities,204757000000,,2023-12-31,2024-01-30,0001467858-24-000031
General Motors,GM,2023,current_liabilities,LiabilitiesCurrent,94445000000,,2023-12-31,2024-01-30,0001467858-24-000031
General Motors,GM,2023,equity,StockholdersEquity,64286000000,,2023-12-31,2024-01-30,0001467858-24-000031
General Motors,GM,2023,revenue,RevenueFromContractWithCustomerExcludingAssessedTax,157658000000,2023-01-01,2023-12-31,2024-01-30,0001467858-24-000031
General Motors,GM,2023,net_income,NetIncomeLoss,10127000000,2023-01-01,2023-12-31,2024-01-30,0001467858-24-000031
General Motors,GM,2024,assets,Assets,279761000000,,2024-12-31,2025-01-28,0001467858-25-000032
General Motors,GM,2024,current_assets,AssetsCurrent,108545000000,,2024-12-31,2025-01-28,0001467858-25-000032
General Motors,GM,2024,cash,CashAndCashEquivalentsAtCarryingValue,19872000000,,2024-12-31,2025-01-28,0001467858-25-000032
General Motors,GM,2024,liabilities,Liabilities,214171000000,,2024-12-31,2025-01-28,0001467858-25-000032
General Motors,GM,2024,current_liabilities,LiabilitiesCurrent,96265000000,,2024-12-31,2025-01-28,0001467858-25-000032
General Motors,GM,2024,equity,StockholdersEquity,63072000000,,2024-12-31,2025-01-28,0001467858-25-000032
General Motors,GM,2024,revenue,RevenueFromContractWithCustomerExcludingAssessedTax,171606000000,2024-01-01,2024-12-31,2025-01-28,0001467858-25-000032
General Motors,GM,2024,net_income,NetIncomeLoss,6008000000,2024-01-01,2024-12-31,2025-01-28,0001467858-25-000032
General Motors,GM,2025,assets,Assets,281284000000,,2025-12-31,2026-01-27,0001467858-26-000013
General Motors,GM,2025,current_assets,AssetsCurrent,108767000000,,2025-12-31,2026-01-27,0001467858-26-000013
General Motors,GM,2025,cash,CashAndCashEquivalentsAtCarryingValue,20945000000,,2025-12-31,2026-01-27,0001467858-26-000013
General Motors,GM,2025,liabilities,Liabilities,218116000000,,2025-12-31,2026-01-27,0001467858-26-000013
General Motors,GM,2025,current_liabilities,LiabilitiesCurrent,93342000000,,2025-12-31,2026-01-27,0001467858-26-000013
General Motors,GM,2025,equity,StockholdersEquity,61119000000,,2025-12-31,2026-01-27,0001467858-26-000013
General Motors,GM,2025,revenue,RevenueFromContractWithCustomerExcludingAssessedTax,167971000000,2025-01-01,2025-12-31,2026-01-27,0001467858-26-000013
General Motors,GM,2025,net_income,NetIncomeLoss,2697000000,2025-01-01,2025-12-31,2026-01-27,0001467858-26-000013
Tesla,TSLA,2023,assets,Assets,106618000000,,2023-12-31,2024-01-29,0001628280-24-002390
Tesla,TSLA,2023,current_assets,AssetsCurrent,49616000000,,2023-12-31,2024-01-29,0001628280-24-002390
Tesla,TSLA,2023,cash,CashAndCashEquivalentsAtCarryingValue,16398000000,,2023-12-31,2024-01-29,0001628280-24-002390
Tesla,TSLA,2023,liabilities,Liabilities,43009000000,,2023-12-31,2024-01-29,0001628280-24-002390
Tesla,TSLA,2023,current_liabilities,LiabilitiesCurrent,28748000000,,2023-12-31,2024-01-29,0001628280-24-002390
Tesla,TSLA,2023,equity,StockholdersEquity,62634000000,,2023-12-31,2024-01-29,0001628280-24-002390
Tesla,TSLA,2023,revenue,RevenueFromContractWithCustomerExcludingAssessedTax,96773000000,2023-01-01,2023-12-31,2024-01-29,0001628280-24-002390
Tesla,TSLA,2023,net_income,NetIncomeLoss,14997000000,2023-01-01,2023-12-31,2024-01-29,0001628280-24-002390
Tesla,TSLA,2024,assets,Assets,122070000000,,2024-12-31,2025-01-30,0001628280-25-003063
Tesla,TSLA,2024,current_assets,AssetsCurrent,58360000000,,2024-12-31,2025-01-30,0001628280-25-003063
Tesla,TSLA,2024,cash,CashAndCashEquivalentsAtCarryingValue,16139000000,,2024-12-31,2025-01-30,0001628280-25-003063
Tesla,TSLA,2024,liabilities,Liabilities,48390000000,,2024-12-31,2025-01-30,0001628280-25-003063
Tesla,TSLA,2024,current_liabilities,LiabilitiesCurrent,28821000000,,2024-12-31,2025-01-30,0001628280-25-003063
Tesla,TSLA,2024,equity,StockholdersEquity,72913000000,,2024-12-31,2025-01-30,0001628280-25-003063
Tesla,TSLA,2024,revenue,RevenueFromContractWithCustomerExcludingAssessedTax,97690000000,2024-01-01,2024-12-31,2025-01-30,0001628280-25-003063
Tesla,TSLA,2024,net_income,NetIncomeLoss,7091000000,2024-01-01,2024-12-31,2025-01-30,0001628280-25-003063
Tesla,TSLA,2025,assets,Assets,137806000000,,2025-12-31,2026-01-29,0001628280-26-003952
Tesla,TSLA,2025,current_assets,AssetsCurrent,68642000000,,2025-12-31,2026-01-29,0001628280-26-003952
Tesla,TSLA,2025,cash,CashAndCashEquivalentsAtCarryingValue,16513000000,,2025-12-31,2026-01-29,0001628280-26-003952
Tesla,TSLA,2025,liabilities,Liabilities,54941000000,,2025-12-31,2026-01-29,0001628280-26-003952
Tesla,TSLA,2025,current_liabilities,LiabilitiesCurrent,31714000000,,2025-12-31,2026-01-29,0001628280-26-003952
Tesla,TSLA,2025,equity,StockholdersEquity,82137000000,,2025-12-31,2026-01-29,0001628280-26-003952
Tesla,TSLA,2025,revenue,RevenueFromContractWithCustomerExcludingAssessedTax,94827000000,2025-01-01,2025-12-31,2026-01-29,0001628280-26-003952
Tesla,TSLA,2025,net_income,NetIncomeLoss,3794000000,2025-01-01,2025-12-31,2026-01-29,0001628280-26-003952
